============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(113. MeV) ==> Upper Be+He Gas+Lower Be( 24.0 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z)
T    1  8 .9819179E+08   2402000E+02 -.3032E+06 -.1160E+06   .9999990 -.0009891  .0010230
T    2  8 .9851731E+08   2402000E+02 -.3483E+06  .3185E+06   .9999979 -.0008915  .0018285
T    3  8 .9858862E+08   2402000E+02  .8133E+05 -.7380E+06   .9999974 -.0000218 -.0022768
T    4  8 .9834527E+08   2402000E+02 -.3608E+05 -.3462E+05   .9999969 -.0012064 -.0021890
T    5  8 .9791770E+08   2402000E+02  .4991E+06  .6927E+05   .9999984  .0017997  .0000505
T    6  8 .9829503E+08   2402000E+02  .7905E+05  .1338E+06   .9999996 -.0006492 -.0006827
T    7  8 .9823449E+08   2402000E+02  .1379E+06 -.7487E+05   .9999988 -.0014190 -.0005785
T    8  8 .9819860E+08   2402000E+02  .2087E+06  .1781E+05   .9999971  .0017933  .0015798
T    9  8 .9822545E+08   2402000E+02  .3024E+06  .1313E+06   .9999993  .0003102  .0011586
T   10  8 .9845297E+08   2402000E+02  .1700E+06 -.1082E+06   .9999508  .0073519 -.0066549
T   11  8 .9823659E+08   2402000E+02 -.1298E+06  .4261E+06   .9999916 -.0034802  .0021482
T   12  8 .9807760E+08   2402000E+02 -.2431E+06 -.2041E+06   .9999962 -.0024648 -.0012636
T   13  8 .9842965E+08   2402000E+02  .1351E+06 -.3390E+06   .9999991  .0001847 -.0013089
T   14  8 .9827537E+08   2402000E+02 -.1885E+06  .1464E+06   .9999979  .0006078  .0019351
T   15  8 .9822574E+08   2402000E+02  .7881E+06  .6350E+05   .9999853  .0051573  .0016586
T   16  8 .9830113E+08   2402000E+02 -.1776E+06 -.1507E+06   .9999954  .0003034 -.0030164
T   17  8 .9822943E+08   2402000E+02 -.3908E+05  .1189E+06   .9999995 -.0005153  .0008852
T   18  8 .9838889E+08   2402000E+02  .2698E+06 -.2441E+06   .9999983  .0016236 -.0008255
T   19  8 .9826521E+08   2402000E+02 -.5309E+06 -.9222E+06   .9999719 -.0024335 -.0070865
T   20  8 .9823820E+08   2402000E+02  .6459E+05  .5212E+06   .9999909 -.0015102  .0039865
T   21  8 .9825281E+08   2402000E+02  .3629E+06  .1591E+06   .9999903  .0029655  .0032538
T   22  8 .9822883E+08   2402000E+02  .7173E+06  .3928E+06   .9999982  .0017908  .0006469
T   23  8 .9833539E+08   2402000E+02 -.2408E+06  .5354E+06   .9999911  .0000175  .0042124
T   24  8 .9827652E+08   2402000E+02  .8157E+05 -.1058E+06   .9999988  .0008576 -.0012661
T   25  8 .9825011E+08   2402000E+02  .1720E+07  .2137E+07   .9999189  .0081613  .0097742
T   26  8 .9851253E+08   2402000E+02  .1527E+06  .9643E+05   .9999994  .0010511  .0002703
T   27  8 .9811615E+08   2402000E+02 -.2574E+06  .1044E+07   .9999856  .0008755  .0052872
T   28  8 .9823518E+08   2402000E+02 -.8815E+05  .1484E+06   .9999999 -.0001360 -.0003021
T   29  8 .9823718E+08   2402000E+02 -.5158E+05  .4394E+05   .9999933 -.0031089  .0019168
T   30  8 .9809529E+08   2402000E+02  .7745E+05 -.1841E+06   .9999986  .0003203 -.0016484
T   31  8 .9814949E+08   2402000E+02  .9089E+04 -.4001E+06   .9999997 -.0005809 -.0004567
T   32  8 .9825392E+08   2402000E+02  .4507E+05 -.3005E+05   .9999963  .0011571  .0024653
T   33  8 .9842093E+08   2402000E+02  .1018E+06 -.7079E+05   .9999965  .0003982 -.0026289
T   34  8 .9834467E+08   2402000E+02 -.5196E+06  .4492E+06   .9999900 -.0037765  .0024058
T   35  8 .9803162E+08   2402000E+02 -.8603E+06  .3898E+05   .9999929 -.0031519 -.0020549
T   36  8 .9816782E+08   2402000E+02  .2611E+06 -.3977E+05   .9999992  .0012274 -.0000388
T   37  8 .9833432E+08   2402000E+02 -.3240E+06  .1889E+06   .9999960 -.0027318  .0006672
T   38  8 .9815680E+08   2402000E+02 -.4075E+06 -.5108E+06   .9999990 -.0012736 -.0005683
T   39  8 .9838165E+08   2402000E+02 -.6168E+06  .7290E+06   .9999866 -.0051240  .0007382
T   40  8 .9831537E+08   2402000E+02 -.4854E+06  .8533E+04   .9999919 -.0037037  .0015670
T   41  8 .9815990E+08   2402000E+02  .1212E+06  .9990E+05   .9999941  .0033559 -.0007424
T   42  8 .9831907E+08   2402000E+02 -.6969E+06 -.1606E+06   .9999965  .0024439  .0010165
T   43  8 .9841562E+08   2402000E+02  .1368E+06 -.4830E+06   .9999968  .0009513 -.0023635
T   44  8 .9844752E+08   2402000E+02  .3288E+06 -.3534E+06   .9999934 -.0001165 -.0036326
T   45  8 .9815936E+08   2402000E+02  .2429E+06  .8150E+06   .9999915 -.0023497  .0033779
T   46  8 .9825690E+08   2402000E+02  .7309E+05  .5117E+05   .9999985  .0016219 -.0005353
T   47  8 .9820592E+08   2402000E+02  .4764E+06 -.6574E+05   .9999979 -.0020654 -.0001312
T   48  8 .9850694E+08   2402000E+02 -.2526E+06  .2245E+06   .9999993 -.0005560  .0009955
T   49  8 .9827689E+08   2402000E+02  .4043E+06 -.8263E+05   .9999945  .0029038 -.0016102
T   50  8 .9817561E+08   2402000E+02  .2455E+06  .3591E+06   .9999972  .0017255  .0016217
T   51  8 .9832778E+08   2402000E+02  .3174E+06  .3526E+06   .9999980  .0018642  .0007560
T   52  8 .9814790E+08   2402000E+02 -.5595E+05 -.3105E+06   .9999955  .0001986 -.0029775
T   53  8 .9835304E+08   2402000E+02  .2618E+06 -.1795E+07   .9999850 -.0007866 -.0054173
T   54  8 .9832759E+08   2402000E+02 -.5613E+06  .1099E+06   .9999979 -.0016133  .0012386
T   55  8 .9838793E+08   2402000E+02  .2645E+06 -.2969E+06   .9999991 -.0000377  .0013101
T   56  8 .9826075E+08   2402000E+02  .1480E+06 -.6892E+05   .9999963  .0023075  .0014522
T   57  8 .9816630E+08   2402000E+02  .3648E+06  .2584E+06   .9999960  .0010262  .0026431
T   58  8 .9826011E+08   2402000E+02 -.3127E+06 -.9374E+05   .9999983 -.0018175  .0001205
T   59  8 .9829150E+08   2402000E+02 -.1589E+06 -.1216E+05   .9999998  .0005707  .0000744
T   60  8 .9836363E+08   2402000E+02 -.1074E+05  .3569E+06   .9999972 -.0021945  .0009047
T   61  8 .9818973E+08   2402000E+02 -.4859E+05  .3067E+06   .9999967  .0003373  .0025527
T   62  8 .9846717E+08   2402000E+02 -.3396E+06  .4035E+06   .9999998 -.0000585  .0006695
T   63  8 .9831914E+08   2402000E+02 -.1350E+05 -.7231E+06   .9999936 -.0006515 -.0035146
T   64  8 .9834192E+08   2402000E+02 -.2298E+06 -.4405E+05   .9999959 -.0017341  .0022751
T   65  8 .9861691E+08   2402000E+02 -.3792E+06 -.4328E+05   .9999904 -.0034588 -.0027052
T   66  8 .9848621E+08   2402000E+02 -.5957E+05  .1016E+06   .9999939  .0009899  .0033425
T   67  8 .9827378E+08   2402000E+02  .5317E+06  .8673E+05   .9999897  .0015596  .0042545
T   68  8 .9874493E+08   2402000E+02 -.5676E+06  .4146E+06   .9999956 -.0022221  .0019646
T   69  8 .9830019E+08   2402000E+02  .2826E+06  .2203E+06   .9999965  .0025862  .0005302
T   70  8 .9840178E+08   2402000E+02  .1870E+06  .7987E+06   .9999973 -.0004897  .0022597
T   71  8 .9833138E+08   2402000E+02  .5977E+06 -.3241E+06   .9999975  .0006045 -.0021355
T   72  8 .9824487E+08   2402000E+02  .2371E+04 -.6713E+06   .9999997 -.0000487  .0007553
T   73  8 .9820794E+08   2402000E+02  .4408E+06 -.7925E+05   .9999935  .0034931 -.0009083
T   74  8 .9833360E+08   2402000E+02 -.1218E+06 -.2893E+06   .9999987 -.0008470 -.0014019
T   75  8 .9816719E+08   2402000E+02 -.1623E+06  .2046E+06   .9999965  .0008842  .0024971
T   76  8 .9824227E+08   2402000E+02  .5422E+06  .4063E+06   .9999820  .0024610  .0054794
T   77  8 .9852159E+08   2402000E+02 -.6453E+05  .2081E+06   .9999916 -.0041032  .0000079
T   78  8 .9814117E+08   2402000E+02  .3115E+06  .3874E+05   .9999907  .0020533  .0037893
T   79  8 .9851273E+08   2402000E+02  .1533E+06 -.3576E+06   .9999938  .0011821 -.0033262
T   80  8 .9825730E+08   2402000E+02  .4385E+06  .2922E+06   .9999973  .0001019  .0023272
T   81  8 .9837084E+08   2402000E+02  .4260E+06  .9378E+05   .9999987  .0011092  .0011904
T   82  8 .9842376E+08   2402000E+02 -.8932E+06  .1203E+06   .9999881 -.0038455  .0029926
T   83  8 .9839755E+08   2402000E+02  .4181E+05 -.4563E+06   .9999923  .0013121 -.0036976
T   84  8 .9819708E+08   2402000E+02 -.1123E+06 -.4374E+06   .9999986 -.0004946 -.0016118
T   85  8 .9834556E+08   2402000E+02 -.1599E+06 -.9564E+06   .9999989 -.0003681 -.0014436
T   86  8 .9857999E+08   2402000E+02  .3126E+06  .7241E+06   .9999781  .0026650  .0060522
T   87  8 .9840704E+08   2402000E+02  .1700E+06 -.8978E+06   .9999889 -.0008304 -.0046327
T   88  8 .9786646E+08   2402000E+02 -.5166E+06  .4308E+06   .9999974 -.0015975  .0016359
T   89  8 .9826682E+08   2402000E+02 -.3919E+06 -.3659E+06   .9999989 -.0014583  .0002903
T   90  8 .9824686E+08   2402000E+02 -.2072E+06  .4285E+06   .9999943 -.0014168  .0030538
T   91  8 .9831913E+08   2402000E+02 -.1054E+06  .1128E+06   .9999981  .0018742  .0005190
T   92  8 .9832059E+08   2402000E+02  .5046E+05 -.2391E+06   .9999997 -.0008215 -.0000551
T   93  8 .9818286E+08   2402000E+02 -.1310E+06  .2696E+06   .9999900 -.0035399  .0027474
T   94  8 .9828901E+08   2402000E+02  .3618E+06  .8747E+06   .9999955 -.0016508  .0025213
T   95  8 .9824076E+08   2402000E+02 -.2190E+06 -.2027E+05   .9999933 -.0036181 -.0006295
T   96  8 .9828835E+08   2402000E+02 -.2368E+06 -.1955E+06   .9999971 -.0023943 -.0000810
T   97  8 .9816947E+08   2402000E+02  .7253E+05  .5441E+06   .9999902  .0012360  .0042547
T   98  8 .9835175E+08   2402000E+02  .2779E+05 -.2621E+06   .9999908 -.0031108 -.0029478
T   99  8 .9831227E+08   2402000E+02  .1440E+06 -.1766E+06   .9999998  .0000376 -.0005754
T  100  8 .9830171E+08   2402000E+02 -.4982E+06  .2404E+06   .9999785 -.0059789 -.0026821
T  101  8 .9838221E+08   2402000E+02 -.9043E+05  .3215E+06   .9999931  .0019447  .0031587
T  102  8 .9820997E+08   2402000E+02  .2112E+06  .4943E+06   .9999937  .0034620  .0007361
T  103  8 .9809659E+08   2402000E+02  .5441E+06  .4056E+06   .9999991  .0004565  .0012610
T  104  8 .9835638E+08   2402000E+02 -.8363E+05 -.1941E+06   .9999962 -.0018906 -.0020028
T  105  8 .9831066E+08   2402000E+02  .2978E+06 -.5898E+05   .9999904  .0010278  .0042702
T  106  8 .9851511E+08   2402000E+02 -.9470E+06 -.2351E+06   .9999933 -.0035548 -.0009182
T  107  8 .9809457E+08   2402000E+02 -.2091E+06 -.5039E+05   .9999973  .0014093  .0018677
T  108  8 .9833056E+08   2402000E+02  .9082E+06  .8578E+06   .9999824  .0040539  .0043350
T  109  8 .9831442E+08   2402000E+02 -.3117E+06 -.2900E+06   .9999968 -.0023988 -.0007691
T  110  8 .9843728E+08   2402000E+02 -.2909E+06  .1192E+06   .9999929 -.0031636  .0020392
T  111  8 .9850092E+08   2402000E+02 -.5065E+06  .7664E+05   .9999875 -.0046038  .0019467
T  112  8 .9823835E+08   2402000E+02 -.6786E+06 -.9561E+06   .9999874 -.0039225 -.0031337
T  113  8 .9841596E+08   2402000E+02  .1636E+06 -.6357E+06   .9999665  .0024046  .0078305
T  114  8 .9843240E+08   2402000E+02 -.1521E+06 -.1300E+06   .9999948 -.0030271  .0011216
T  115  8 .9831414E+08   2402000E+02 -.6102E+05 -.6741E+06   .9999938 -.0000745 -.0035267
T  116  8 .9831437E+08   2402000E+02 -.1020E+06  .9950E+05   .9999972 -.0014313  .0018982
T  117  8 .9850241E+08   2402000E+02  .2655E+05 -.2693E+06   .9999941  .0017885 -.0029243
T  118  8 .9819214E+08   2402000E+02 -.1386E+06  .3327E+04   .9999997  .0000171  .0008308
T  119  8 .9825207E+08   2402000E+02 -.3521E+06  .5378E+06   .9999565 -.0069429  .0062245
T  120  8 .9857109E+08   2402000E+02 -.1116E+06  .4847E+06   .9999906  .0000929  .0043240
T  121  8 .9819709E+08   2402000E+02 -.2401E+06  .8061E+06   .9999885 -.0006850  .0047547
T  122  8 .9840913E+08   2402000E+02  .4574E+06  .3253E+06   .9999820  .0059962  .0003289
T  123  8 .9822484E+08   2402000E+02 -.2900E+06  .9873E+05   .9999997  .0007770  .0000702
T  124  8 .9825396E+08   2402000E+02  .3852E+06  .2950E+06   .9999962  .0017743  .0021301
T  125  8 .9834092E+08   2402000E+02 -.1402E+06 -.3405E+06   .9999992  .0012107 -.0004349
T  126  8 .9822143E+08   2402000E+02  .4493E+06 -.1898E+07   .9999723  .0022940 -.0070817
T  127  8 .9815809E+08   2402000E+02 -.5172E+06 -.4710E+05   .9999938 -.0030577  .0017487
T  128  8 .9817565E+08   2402000E+02  .3525E+06  .3115E+06   .9999975  .0011514  .0019140
T  129  8 .9823988E+08   2402000E+02  .5117E+06 -.6911E+06   .9999858  .0037599 -.0037774
T  130  8 .9825674E+08   2402000E+02  .2535E+06 -.3882E+06   .9999982  .0018824  .0001338
T  131  8 .9836239E+08   2402000E+02 -.1694E+06  .1516E+05   .9999993  .0010125  .0006174
T  132  8 .9829384E+08   2402000E+02 -.6622E+06 -.9859E+06   .9999948 -.0027277 -.0017464
T  133  8 .9836810E+08   2402000E+02  .6913E+05 -.2334E+06   .9999998  .0005273  .0002594
T  134  8 .9866656E+08   2402000E+02 -.1819E+06 -.1608E+06   .9999973 -.0012118 -.0019787
T  135  8 .9823034E+08   2402000E+02  .3324E+06  .9651E+04   .9999988  .0013832  .0007011
T  136  8 .9804091E+08   2402000E+02  .3241E+05  .1548E+07   .9999854 -.0004712  .0053818
T  137  8 .9820155E+08   2402000E+02 -.1324E+06 -.6903E+05   .9999986 -.0014700 -.0008070
T  138  8 .9816691E+08   2402000E+02  .6180E+06  .9503E+05   .9999997  .0004451 -.0007068
T  139  8 .9834307E+08   2402000E+02  .1229E+07 -.3311E+07   .9997747  .0079308 -.0196870
T  140  8 .9835212E+08   2402000E+02 -.8459E+06  .5040E+06   .9999741 -.0065079 -.0030885
T  141  8 .9826398E+08   2402000E+02  .2974E+06 -.2319E+06   .9999996  .0009012 -.0002572
T  142  8 .9810765E+08   2402000E+02  .1050E+06  .1427E+06   .9999987  .0008294  .0013467
T  143  8 .9822527E+08   2402000E+02 -.5535E+06 -.7758E+05   .9999978 -.0012893 -.0016497
T  144  8 .9825450E+08   2402000E+02 -.2998E+06 -.6458E+05   .9999983 -.0005666 -.0017265
T  145  8 .9819308E+08   2402000E+02 -.7263E+06 -.4086E+05   .9999988 -.0012913  .0009021
T  146  8 .9812397E+08   2402000E+02 -.3526E+05  .9362E+04   .9999789  .0018728  .0062272
T  147  8 .9846803E+08   2402000E+02  .7754E+06 -.8224E+06   .9999880  .0047628 -.0011711
T  148  8 .9839536E+08   2402000E+02 -.1539E+06 -.2835E+05   .9999985  .0008252  .0015267
T  149  8 .9842089E+08   2402000E+02  .4147E+06 -.1651E+06   .9999933  .0036462 -.0003261
T  150  8 .9814043E+08   2402000E+02 -.1185E+06 -.2251E+06   .9999922 -.0008454 -.0038555
T  151  8 .9818371E+08   2402000E+02 -.4422E+06 -.9386E+05   .9999984 -.0017681  .0002621
T  152  8 .9847851E+08   2402000E+02  .1748E+06 -.9591E+05   .9999838 -.0056714  .0005481
T  153  8 .9831710E+08   2402000E+02  .6269E+06 -.3056E+06   .9999994  .0010732  .0001236
T  154  8 .9833742E+08   2402000E+02  .3525E+06 -.9674E+05   .9999833  .0027751  .0050758
T  155  8 .9817694E+08   2402000E+02  .2762E+06  .4717E+06   .9999960  .0022006 -.0017822
T  156  8 .9812472E+08   2402000E+02 -.1793E+06 -.2787E+06   .9999997  .0007835 -.0001933
T  157  8 .9837523E+08   2402000E+02 -.7792E+04 -.1725E+06   .9999986  .0000104  .0016723
T  158  8 .9823447E+08   2402000E+02 -.1587E+06 -.3915E+05   .9999975 -.0022416 -.0001753
T  159  8 .9803761E+08   2402000E+02  .6623E+05 -.1039E+06   .9999914  .0038387 -.0015849
T  160  8 .9823819E+08   2402000E+02  .2760E+06  .3729E+06   .9999861 -.0045148  .0027182
T  161  8 .9814295E+08   2402000E+02  .2354E+06 -.4864E+06   .9999992  .0012933  .0000809
T  162  8 .9818227E+08   2402000E+02 -.1106E+06  .4943E+06   .9999947 -.0031363  .0008593
T  163  8 .9817117E+08   2402000E+02 -.1118E+06 -.3138E+06   .9999979  .0015035 -.0013916
T  164  8 .9822247E+08   2402000E+02 -.3990E+06  .4518E+06   .9999823 -.0059468 -.0001435
T  165  8 .9850512E+08   2402000E+02  .2620E+06  .4617E+05   .9999956  .0028771  .0007397
T  166  8 .9833528E+08   2402000E+02  .1818E+06 -.7715E+05   .9999965  .0026142 -.0003925
T  167  8 .9817367E+08   2402000E+02 -.3411E+06 -.1410E+05   .9999951 -.0029454 -.0011029
