============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(109. MeV) ==> Upper Be+He Gas+Lower Be( 8.03 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z)
T    1  8 .8891982E+08   8030000E+01 -.1656E+06  .1156E+06   .9999985 -.0009007  .0014854
T    2  8 .8902931E+08   8030000E+01 -.1773E+06 -.7494E+05   .9999840 -.0049263 -.0027859
T    3  8 .8912481E+08   8030000E+01 -.1626E+05 -.5978E+05   .9999911 -.0035458  .0023010
T    4  8 .8869481E+08   8030000E+01 -.2120E+06 -.9250E+05   .9999863 -.0028575  .0043858
T    5  8 .8900622E+08   8030000E+01 -.3324E+04 -.1047E+06   .9999991 -.0012171 -.0005029
T    6  8 .8906283E+08   8030000E+01  .2606E+05 -.8579E+05   .9999958  .0023350 -.0017247
T    7  8 .8906965E+08   8030000E+01 -.1682E+06  .1194E+06   .9999964  .0026373  .0005279
T    8  8 .8899528E+08   8030000E+01  .2662E+05 -.1506E+06   .9999969  .0021454 -.0012929
T    9  8 .8907482E+08   8030000E+01 -.2025E+06  .2778E+06   .9999954 -.0028502  .0010815
T   10  8 .8897952E+08   8030000E+01 -.2462E+06 -.6422E+05   .9999776 -.0066037  .0010877
T   11  8 .8884365E+08   8030000E+01 -.1414E+06  .1577E+06   .9999941  .0003708  .0034207
T   12  8 .8888032E+08   8030000E+01  .7030E+06  .1577E+06   .9999837  .0019927 -.0053563
T   13  8 .8901304E+08   8030000E+01  .1909E+05  .1404E+06   .9999990 -.0003558  .0013594
T   14  8 .8899805E+08   8030000E+01  .3453E+05 -.1161E+06   .9999955 -.0011405 -.0027834
T   15  8 .8871402E+08   8030000E+01 -.9373E+05  .2389E+06   .9999876 -.0008125  .0049229
T   16  8 .8880273E+08   8030000E+01 -.4605E+06 -.1112E+07   .9998494 -.0063192 -.0161640
T   17  8 .8884406E+08   8030000E+01 -.1598E+06 -.2678E+06   .9999956 -.0020359 -.0021685
T   18  8 .8906156E+08   8030000E+01 -.2889E+06  .1331E+06   .9999895 -.0039165  .0023655
T   19  8 .8914186E+08   8030000E+01  .1608E+06 -.3106E+05   .9999835  .0048507 -.0030784
T   20  8 .8950042E+08   8030000E+01 -.2514E+06  .4837E+05   .9999993 -.0011578 -.0002913
T   21  8 .8922092E+08   8030000E+01 -.2640E+06  .1406E+06   .9999912 -.0038078 -.0017554
T   22  8 .8889666E+08   8030000E+01 -.6967E+05 -.4127E+05   .9999959 -.0028440  .0001119
T   23  8 .8893172E+08   8030000E+01  .2945E+06  .3842E+06   .9999611  .0068369  .0055787
T   24  8 .8908417E+08   8030000E+01 -.1480E+06 -.2774E+05   .9999795 -.0064006  .0002233
T   25  8 .8858656E+08   8030000E+01  .6595E+05 -.4656E+05   .9999966  .0012935 -.0022668
T   26  8 .8909124E+08   8030000E+01  .1600E+06 -.5342E+05   .9999887  .0037979 -.0028473
T   27  8 .8896094E+08   8030000E+01 -.1762E+06 -.1223E+06   .9999828 -.0011924 -.0057366
T   28  8 .8876712E+08   8030000E+01 -.2150E+06  .1184E+06   .9999900 -.0032080 -.0031133
T   29  8 .8894122E+08   8030000E+01  .6032E+05 -.2334E+06   .9999863  .0045443  .0025915
T   30  8 .8901950E+08   8030000E+01 -.1918E+06  .2672E+06   .9999851 -.0053904 -.0008050
T   31  8 .8908822E+08   8030000E+01 -.4382E+06 -.1285E+06   .9999784 -.0061936 -.0021837
T   32  8 .8939765E+08   8030000E+01 -.1777E+05  .1991E+05   .9999962 -.0006465 -.0026954
T   33  8 .8886293E+08   8030000E+01 -.3912E+06 -.5495E+05   .9999911 -.0042119  .0001372
T   34  8 .8865204E+08   8030000E+01 -.5251E+05 -.5412E+05   .9999980  .0016901  .0010337
T   35  8 .8881571E+08   8030000E+01 -.1743E+06 -.2138E+06   .9999934 -.0011666 -.0034328
