============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(122 MeV) ==> Upper Be+He Gas+Lower Be( 8.03 mm) ========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z)
T    1  8 .1030332E+09   8030000E+01 -.1735E+06  .4771E+05   .9999991 -.0011402  .0006766
T    2  8 .1031640E+09   8030000E+01  .1780E+06 -.4230E+05   .9999968  .0023311  .0010246
T    3  8 .1034728E+09   8030000E+01 -.7374E+04  .1362E+06   .9999991 -.0010145  .0008204
T    4  8 .1032579E+09   8030000E+01  .6786E+05 -.1803E+06   .9999966  .0024115 -.0010136
T    5  8 .1028969E+09   8030000E+01 -.4606E+05 -.2073E+06   .9999971 -.0022224 -.0009273
T    6  8 .1029437E+09   8030000E+01  .1077E+05  .2432E+06   .9999970  .0009260  .0022562
T    7  8 .1031339E+09   8030000E+01 -.1722E+06 -.6501E+05   .9999934 -.0036439 -.0000258
T    8  8 .1031359E+09   8030000E+01 -.2080E+06 -.2879E+06   .9999570 -.0064933 -.0066218
T    9  8 .1032273E+09   8030000E+01  .3794E+06  .4588E+06   .9999748  .0037140  .0060476
T   10  8 .1032874E+09   8030000E+01 -.6402E+05  .4897E+06   .9999697 -.0001868  .0077836
T   11  8 .1033071E+09   8030000E+01 -.1185E+06  .6393E+05   .9999967 -.0015261  .0020548
T   12  8 .1027655E+09   8030000E+01  .9042E+05  .1626E+06   .9999622  .0044751  .0074611
T   13  8 .1032816E+09   8030000E+01 -.1507E+06 -.1997E+06   .9999935 -.0031212 -.0017873
T   14  8 .1031179E+09   8030000E+01 -.1040E+06 -.1388E+06   .9999976 -.0015046 -.0015844
T   15  8 .1031332E+09   8030000E+01  .3674E+05  .4882E+05   .9999864 -.0009884  .0051235
T   16  8 .1030174E+09   8030000E+01  .5827E+05 -.1088E+06   .9999968  .0018155 -.0017771
T   17  8 .1029252E+09   8030000E+01 -.5353E+06 -.9968E+06   .9998761 -.0063935 -.0143855
T   18  8 .1033472E+09   8030000E+01  .1433E+06 -.2304E+06   .9999982  .0003119 -.0018490
T   19  8 .1031326E+09   8030000E+01 -.3115E+05  .9708E+05   .9999956 -.0022016  .0020013
T   20  8 .1033499E+09   8030000E+01 -.5287E+05  .1519E+05   .9999923 -.0039054  .0004328
T   21  8 .1031889E+09   8030000E+01 -.1801E+06  .2505E+06   .9999991 -.0006405  .0012057
T   22  8 .1031842E+09   8030000E+01 -.3101E+06  .3771E+06   .9999906 -.0034615  .0026289
T   23  8 .1030747E+09   8030000E+01 -.1706E+06 -.1093E+06   .9999971 -.0023875  .0003849
T   24  8 .1032016E+09   8030000E+01  .2089E+06 -.1527E+05   .9999614  .0075007  .0045863
T   25  8 .1029517E+09   8030000E+01  .9171E+04 -.2450E+05   .9999944 -.0006953 -.0032844
T   26  8 .1030877E+09   8030000E+01 -.1862E+06 -.1064E+06   .9999953  .0004889 -.0030251
T   27  8 .1033407E+09   8030000E+01 -.1907E+06  .1262E+05   .9999917 -.0040301  .0005774
T   28  8 .1028558E+09   8030000E+01 -.1102E+06 -.9597E+05   .9999939 -.0034713 -.0003625
T   29  8 .1029110E+09   8030000E+01  .1416E+06 -.1407E+06   .9999959  .0005649 -.0028083
T   30  8 .1031207E+09   8030000E+01  .3992E+05 -.3934E+06   .9999751  .0005315 -.0070303
T   31  8 .1031682E+09   8030000E+01 -.1977E+06 -.1301E+06   .9999988 -.0011042 -.0010701
T   32  8 .1029779E+09   8030000E+01  .2588E+05 -.7090E+05   .9999969 -.0024646 -.0002123
T   33  8 .1028850E+09   8030000E+01  .1210E+06  .6072E+05   .9999782  .0033032  .0057090
T   34  8 .1030988E+09   8030000E+01 -.4405E+05 -.4261E+05   .9999957 -.0025161 -.0014862
T   35  8 .1028795E+09   8030000E+01  .6503E+05 -.9291E+05   .9999971 -.0019536 -.0014391
T   36  8 .1028575E+09   8030000E+01 -.2857E+05 -.6080E+05   .9998804  .0088315  .0126983
T   37  8 .1032480E+09   8030000E+01 -.1945E+06  .7983E+05   .9999905 -.0043647 -.0001529
T   38  8 .1032374E+09   8030000E+01  .7512E+05 -.1882E+05   .9999990  .0004916 -.0012945
T   39  8 .1030856E+09   8030000E+01  .1692E+05 -.1727E+06   .9999977 -.0006229  .0020312
T   40  8 .1031023E+09   8030000E+01 -.5090E+05 -.8627E+05   .9999995 -.0006224 -.0008393
T   41  8 .1030566E+09   8030000E+01 -.1101E+06 -.3732E+05   .9999999  .0000459  .0001498
T   42  8 .1030309E+09   8030000E+01  .1739E+06  .3300E+06   .9999878  .0026520  .0041601
T   43  8 .1030630E+09   8030000E+01  .2064E+06  .1780E+05   .9999956  .0029545  .0001730
T   44  8 .1032621E+09   8030000E+01  .5670E+06 -.8252E+05   .9999640  .0084605 -.0006542
T   45  8 .1032488E+09   8030000E+01  .4295E+05  .1268E+06   .9999906  .0016537  .0040183
T   46  8 .1029461E+09   8030000E+01 -.1443E+06  .3709E+05   .9999986 -.0016803  .0000100
T   47  8 .1030189E+09   8030000E+01 -.2334E+05  .9224E+05   .9999986 -.0013621 -.0009461
T   48  8 .1027670E+09   8030000E+01 -.4980E+04  .1797E+06   .9999922 -.0028558  .0027254
T   49  8 .1031040E+09   8030000E+01  .8849E+05  .8073E+05   .9999938  .0007577 -.0034275
T   50  8 .1032900E+09   8030000E+01 -.7287E+05  .3431E+05   .9999961 -.0010781  .0025636
T   51  8 .1034105E+09   8030000E+01  .1876E+06  .6982E+05   .9999902  .0038952 -.0020901
T   52  8 .1031064E+09   8030000E+01 -.5405E+05 -.1404E+06   .9999981  .0018415 -.0006314
T   53  8 .1031972E+09   8030000E+01  .3402E+05 -.2650E+05   .9999989 -.0013099  .0007162
T   54  8 .1030982E+09   8030000E+01 -.1436E+06 -.1260E+06   .9999731  .0005887 -.0073058
T   55  8 .1030238E+09   8030000E+01  .1673E+05  .1049E+06   .9999961  .0004456  .0027689
T   56  8 .1030631E+09   8030000E+01  .2811E+05  .3420E+05   .9999948  .0028145  .0016010
T   57  8 .1030597E+09   8030000E+01 -.1134E+06  .1801E+05   .9999999 -.0001566 -.0003555
T   58  8 .1029503E+09   8030000E+01 -.1015E+06 -.4489E+05   .9999988 -.0005820 -.0014441
T   59  8 .1028811E+09   8030000E+01 -.2169E+06 -.1038E+05   .9999989 -.0006700 -.0013242
T   60  8 .1031369E+09   8030000E+01 -.9889E+05 -.8063E+04   .9999904 -.0042033  .0012027
T   61  8 .1030789E+09   8030000E+01 -.2028E+06  .1368E+06   .9999943 -.0031188  .0013176
T   62  8 .1029344E+09   8030000E+01 -.5962E+05 -.5189E+04   .9999879 -.0048920 -.0005545
T   63  8 .1032145E+09   8030000E+01  .8461E+05  .6900E+05   .9999999 -.0004076 -.0003454
T   64  8 .1031829E+09   8030000E+01 -.2949E+06 -.9983E+05   .9999881 -.0048084 -.0008107
T   65  8 .1033482E+09   8030000E+01 -.1252E+05 -.2805E+06   .9999942 -.0013968 -.0030942
T   66  8 .1027829E+09   8030000E+01 -.8910E+05  .1052E+05   .9999949 -.0031832 -.0003994
T   67  8 .1032061E+09   8030000E+01  .1151E+06 -.1518E+06   .9999828 -.0043404 -.0039482
T   68  8 .1033614E+09   8030000E+01 -.6745E+05  .6567E+05   .9999910 -.0028980  .0030941
T   69  8 .1031333E+09   8030000E+01  .4404E+05 -.1693E+06   .9999990 -.0011925  .0007759
T   70  8 .1032086E+09   8030000E+01  .1086E+06  .2586E+05   .9999987 -.0000872  .0016169
